Time,C1_Voltage,L1_Current,VDC1_Voltage Difference
14.4,0.865349122417291,0.089283782,1
14.5,0.867563207227387,0.087831325,1
14.6,0.86974126439445,0.086401734,1
14.7,0.871883861569117,0.084994687,1
14.8,0.87399155838004,0.083609865,1
14.9,0.876064906500044,0.082246951,1
15,0.878104449714428,0.08090563,1
15.1,0.88011072399123,0.079585592,1
15.2,0.882084257553259,0.078286528,1
15.3,0.884025570951732,0.077008133,1
15.4,0.885935177141343,0.075750103,1
15.5,0.887813581556624,0.074512141,1
15.6,0.889661282189442,0.07329395,1
15.7,0.891478769667499,0.072095236,1
15.8,0.893266527333707,0.07091571,1
15.9,0.895025031326327,0.069755086,1
16,0.896754750659736,0.06861308,1
16.1,0.89845614730574,0.067489412,1
16.2,0.900129676275319,0.066383805,1
16.3,0.901775785700708,0.065295986,1
16.4,0.903394916917743,0.064225685,1
16.5,0.904987504548361,0.063172633,1
16.6,0.906553976583208,0.062136569,1
16.7,0.908094754464256,0.061117232,1
16.8,0.909610253167374,0.060114365,1
16.9,0.911100881284795,0.059127713,1
17,0.912567041107402,0.058157027,1
17.1,0.914009128706791,0.05720206,1
17.2,0.915427534017061,0.056262567,1
17.3,0.916822640916273,0.055338308,1
17.4,0.918194827307535,0.054429045,1
17.5,0.919544465199688,0.053534546,1
17.6,0.920871920787524,0.052654577,1
17.7,0.922177554531532,0.051788913,1
17.8,0.923461721237116,0.050937327,1
17.9,0.92472477013327,0.0500996,1
18,0.925967044950669,0.049275511,1
18.1,0.927188883999159,0.048464847,1
18.2,0.928390620244623,0.047667394,1
18.3,0.929572581385196,0.046882944,1
18.4,0.930735089926807,0.04611129,1
18.5,0.931878463258046,0.045352229,1
18.6,0.933003013724318,0.044605561,1
18.7,0.934109048701289,0.043871089,1
18.8,0.935196870667593,0.043148618,1
18.9,0.936266777276809,0.042437957,1
19,0.937319061428676,0.041738917,1
19.1,0.938354011339553,0.041051312,1
19.2,0.939371910612111,0.040374958,1
19.3,0.940373038304248,0.039709676,1
19.4,0.941357668997226,0.039055288,1
19.5,0.942326072863019,0.038411618,1
19.6,0.943278515730876,0.037778495,1
19.7,0.944215259153091,0.037155748,1
19.8,0.945136560469979,0.036543211,1
19.9,0.946042672874057,0.035940718,1
20,0.946933845473434,0.035348108,1
20.1,0.947810323354399,0.034765221,1
20.2,0.948672347643217,0.0341919,1
20.3,0.949520155567137,0.03362799,1
20.4,0.950353980514603,0.033073338,1
20.5,0.951174052094678,0.032527796,1
20.6,0.951980596195688,0.031991214,1
20.7,0.95277383504307,0.031463449,1
20.8,0.953553987256462,0.030944356,1
20.9,0.954321267905998,0.030433795,1
21,0.955075888567849,0.029931627,1
21.1,0.955818057378988,0.029437715,1
21.2,0.956547979091206,0.028951927,1
21.3,0.957265855124366,0.028474128,1
21.4,0.957971883618909,0.028004189,1
21.5,0.95866625948762,0.027541982,1
21.6,0.959349174466659,0.027087381,1
21.7,0.960020817165858,0.026640262,1
21.8,0.960681373118296,0.026200503,1
21.9,0.96133102482916,0.025767984,1
22,0.961969951823888,0.025342585,1
22.1,0.962598330695623,0.024924192,1
22.2,0.963216335151953,0.02451269,1
22.3,0.96382413606098,0.024107965,1
22.4,0.964421901496693,0.023709908,1
22.5,0.965009796783677,0.023318409,1
22.6,0.965587984541152,0.02293336,1
22.7,0.966156624726349,0.022554656,1
22.8,0.966715874677242,0.022182193,1
22.9,0.967265889154626,0.02181587,1
23,0.967806820383572,0.021455584,1
23.1,0.968338818094239,0.021101238,1
23.2,0.968862029562074,0.020752734,1
23.3,0.969376599647396,0.020409976,1
23.4,0.969882670834372,0.02007287,1
23.5,0.970380383269399,0.019741322,1
23.6,0.970869874798892,0.019415243,1
23.7,0.971351281006491,0.019094542,1
23.8,0.97182473524969,0.01877913,1
23.9,0.972290368695902,0.018468922,1
24,0.972748310357962,0.018163831,1
24.1,0.973198687129073,0.017863773,1
24.2,0.973641623817217,0.017568666,1
24.3,0.974077243179019,0.017278428,1
24.4,0.974505665953082,0.016992979,1
24.5,0.974927010892802,0.016712241,1
24.6,0.975341394798668,0.016436136,1
24.7,0.975748932550045,0.016164587,1
24.8,0.97614973713647,0.01589752,1
24.9,0.976543919688436,0.015634861,1
25,0.976931589507706,0.015376538,1
